252  390  tensor(74.7580, device='cuda:0')
253  390  tensor(76.5640, device='cuda:0')
254  390  tensor(74.4180, device='cuda:0')
255  390  tensor(76.4840, device='cuda:0')
256  390  tensor(76.9480, device='cuda:0')
257  390  tensor(75.4080, device='cuda:0')
258  390  tensor(73.9120, device='cuda:0')
259  390  tensor(75.2880, device='cuda:0')
260  390  tensor(74.4540, device='cuda:0')
261  390  tensor(75.1620, device='cuda:0')
262  390  tensor(74.6040, device='cuda:0')
263  390  tensor(76.4880, device='cuda:0')
264  390  tensor(75.2700, device='cuda:0')
265  390  tensor(72.7560, device='cuda:0')
266  390  tensor(72.3800, device='cuda:0')
267  390  tensor(76.4300, device='cuda:0')
268  390  tensor(75.3600, device='cuda:0')
269  390  tensor(76.4780, device='cuda:0')
270  390  tensor(73.4420, device='cuda:0')
271  390  tensor(76.4660, device='cuda:0')
272  390  tensor(75.8080, device='cuda:0')
273  390  tensor(74.2500, device='cuda:0')
274  390  tensor(75.9720, device='cuda:0')
275  390  tensor(74.7780, device='cuda:0')
276  390  tensor(75.0280, device='cuda:0')
277  390  tensor(76.2520, device='cuda:0')
278  390  tensor(73.4140, device='cuda:0')
279  390  tensor(75.9480, device='cuda:0')
280  390  tensor(74.9100, device='cuda:0')
281  390  tensor(75.5760, device='cuda:0')
282  390  tensor(77.2080, device='cuda:0')
283  390  tensor(74.9040, device='cuda:0')
284  390  tensor(75.8240, device='cuda:0')
285  390  tensor(74.5260, device='cuda:0')
286  390  tensor(71.4560, device='cuda:0')
287  390  tensor(75.2740, device='cuda:0')
288  390  tensor(74.4760, device='cuda:0')
289  390  tensor(76.0660, device='cuda:0')
290  390  tensor(74.5380, device='cuda:0')
291  390  tensor(73.6800, device='cuda:0')
292  390  tensor(78.2460, device='cuda:0')
293  390  tensor(76.9480, device='cuda:0')
294  390  tensor(78.1980, device='cuda:0')
295  390  tensor(74.3560, device='cuda:0')
296  390  tensor(72.1800, device='cuda:0')
297  390  tensor(74.8280, device='cuda:0')
298  390  tensor(76.1080, device='cuda:0')
299  390  tensor(76.3040, device='cuda:0')
300  390  tensor(75.4920, device='cuda:0')
301  390  tensor(76.1840, device='cuda:0')
302  390  tensor(74.9560, device='cuda:0')
303  390  tensor(73.7640, device='cuda:0')
304  390  tensor(75.3980, device='cuda:0')
305  390  tensor(74.4800, device='cuda:0')
306  390  tensor(74.9560, device='cuda:0')
307  390  tensor(75.4060, device='cuda:0')
308  390  tensor(74.2040, device='cuda:0')
309  390  tensor(76.5960, device='cuda:0')
310  390  tensor(75.4060, device='cuda:0')
311  390  tensor(77.5760, device='cuda:0')
312  390  tensor(75.4360, device='cuda:0')
313  390  tensor(76.3320, device='cuda:0')
314  390  tensor(77.2600, device='cuda:0')
315  390  tensor(76.2980, device='cuda:0')
316  390  tensor(77.7160, device='cuda:0')
317  390  tensor(74.7440, device='cuda:0')
318  390  tensor(77.5640, device='cuda:0')
319  390  tensor(77.9740, device='cuda:0')
320  390  tensor(76.1100, device='cuda:0')
321  390  tensor(74.8000, device='cuda:0')
322  390  tensor(76.7840, device='cuda:0')
323  390  tensor(74.9040, device='cuda:0')
324  390  tensor(74.9760, device='cuda:0')
325  390  tensor(77.7940, device='cuda:0')
326  390  tensor(76.1640, device='cuda:0')
327  390  tensor(75.2860, device='cuda:0')
328  390  tensor(75.4960, device='cuda:0')
329  390  tensor(74.2560, device='cuda:0')
330  390  tensor(76.9400, device='cuda:0')
331  390  tensor(74.9100, device='cuda:0')
332  390  tensor(74.8120, device='cuda:0')
333  390  tensor(77.5240, device='cuda:0')
334  390  tensor(76.2200, device='cuda:0')
335  390  tensor(77.1240, device='cuda:0')
336  390  tensor(77.1820, device='cuda:0')
337  390  tensor(76.5620, device='cuda:0')
338  390  tensor(76.1580, device='cuda:0')
339  390  tensor(77.4440, device='cuda:0')
340  390  tensor(74.8760, device='cuda:0')
341  390  tensor(77.3500, device='cuda:0')
342  390  tensor(76.6940, device='cuda:0')
343  390  tensor(75.7020, device='cuda:0')
344  390  tensor(75.3540, device='cuda:0')
345  390  tensor(77.0600, device='cuda:0')
346  390  tensor(75.0860, device='cuda:0')
347  390  tensor(77.6680, device='cuda:0')
348  390  tensor(76.4880, device='cuda:0')
349  390  tensor(77.8200, device='cuda:0')
350  390  tensor(73.2320, device='cuda:0')
351  390  tensor(75.8280, device='cuda:0')
352  390  tensor(74.8420, device='cuda:0')
353  390  tensor(76.8480, device='cuda:0')
354  390  tensor(76.3820, device='cuda:0')
355  390  tensor(77., device='cuda:0')
356  390  tensor(77.7380, device='cuda:0')
357  390  tensor(75.3860, device='cuda:0')
358  390  tensor(77.7360, device='cuda:0')
359  390  tensor(77.9180, device='cuda:0')
360  390  tensor(75.4320, device='cuda:0')
361  390  tensor(77.7040, device='cuda:0')
362  390  tensor(75.1000, device='cuda:0')
363  390  tensor(75.9380, device='cuda:0')
364  390  tensor(74.6000, device='cuda:0')
365  390  tensor(75.0480, device='cuda:0')
366  390  tensor(77.5240, device='cuda:0')
367  390  tensor(77.4520, device='cuda:0')
368  390  tensor(76.1860, device='cuda:0')
369  390  tensor(75.8360, device='cuda:0')
370  390  tensor(76.1620, device='cuda:0')
371  390  tensor(75.9140, device='cuda:0')
372  390  tensor(78.1180, device='cuda:0')
373  390  tensor(75.2820, device='cuda:0')
374  390  tensor(79.6700, device='cuda:0')
375  390  tensor(77.2380, device='cuda:0')
376  390  tensor(75.4680, device='cuda:0')
377  390  tensor(75.1540, device='cuda:0')
378  390  tensor(74.6560, device='cuda:0')
379  390  tensor(77.0300, device='cuda:0')
380  390  tensor(77.1840, device='cuda:0')
381  390  tensor(76.0680, device='cuda:0')
382  390  tensor(73.2960, device='cuda:0')
383  390  tensor(78.2100, device='cuda:0')
384  390  tensor(77.7140, device='cuda:0')
385  390  tensor(76.2420, device='cuda:0')
386  390  tensor(77.6800, device='cuda:0')
387  390  tensor(76.8440, device='cuda:0')
388  390  tensor(74.5280, device='cuda:0')
389  390  tensor(76.9240, device='cuda:0')
390  390  tensor(76.3540, device='cuda:0')
391  390  tensor(76.8940, device='cuda:0')
392  390  tensor(78.2000, device='cuda:0')
393  390  tensor(75.3080, device='cuda:0')
394  390  tensor(75.7260, device='cuda:0')
395  390  tensor(77.2600, device='cuda:0')
396  390  tensor(76.6880, device='cuda:0')
397  390  tensor(77.2040, device='cuda:0')
398  390  tensor(76.5920, device='cuda:0')
399  390  tensor(75.8580, device='cuda:0')
400  390  tensor(78.0140, device='cuda:0')
401  390  tensor(75.4020, device='cuda:0')
402  390  tensor(78.2040, device='cuda:0')
403  390  tensor(76.8480, device='cuda:0')
404  390  tensor(74.4020, device='cuda:0')
405  390  tensor(76.3180, device='cuda:0')
406  390  tensor(73.9060, device='cuda:0')
407  390  tensor(77.3520, device='cuda:0')
408  390  tensor(74.9880, device='cuda:0')
409  390  tensor(78.2220, device='cuda:0')
410  390  tensor(77.1240, device='cuda:0')
411  390  tensor(75.5800, device='cuda:0')
412  390  tensor(77.6860, device='cuda:0')
413  390  tensor(77.5360, device='cuda:0')
414  390  tensor(77.5660, device='cuda:0')
415  390  tensor(77.3300, device='cuda:0')
416  390  tensor(77.1120, device='cuda:0')
417  390  tensor(79.3940, device='cuda:0')
418  390  tensor(76.0720, device='cuda:0')
419  390  tensor(79.7340, device='cuda:0')
420  390  tensor(80.7800, device='cuda:0')
421  390  tensor(77.8200, device='cuda:0')
422  390  tensor(78.1680, device='cuda:0')
423  390  tensor(76.2180, device='cuda:0')
424  390  tensor(75.5580, device='cuda:0')
425  390  tensor(77.2120, device='cuda:0')
426  390  tensor(79.2040, device='cuda:0')
427  390  tensor(76.6300, device='cuda:0')
428  390  tensor(76.9040, device='cuda:0')
429  390  tensor(77.3280, device='cuda:0')
430  390  tensor(78.4340, device='cuda:0')
431  390  tensor(78.6580, device='cuda:0')
432  390  tensor(75.5320, device='cuda:0')
433  390  tensor(79.9640, device='cuda:0')
434  390  tensor(76.7020, device='cuda:0')
435  390  tensor(78.0360, device='cuda:0')
