206  468  tensor(79.0833, device='cuda:0')
207  468  tensor(76.7417, device='cuda:0')
208  468  tensor(78.0733, device='cuda:0')
209  468  tensor(78.5850, device='cuda:0')
210  468  tensor(78.1267, device='cuda:0')
211  468  tensor(77.7050, device='cuda:0')
212  468  tensor(75.2367, device='cuda:0')
213  468  tensor(76.8833, device='cuda:0')
214  468  tensor(76.8900, device='cuda:0')
215  468  tensor(74.4900, device='cuda:0')
216  468  tensor(79.2133, device='cuda:0')
217  468  tensor(76.9883, device='cuda:0')
218  468  tensor(77.3767, device='cuda:0')
219  468  tensor(79.8550, device='cuda:0')
220  468  tensor(79.2867, device='cuda:0')
221  468  tensor(79.6367, device='cuda:0')
222  468  tensor(76.2383, device='cuda:0')
223  468  tensor(77.6450, device='cuda:0')
224  468  tensor(76.1067, device='cuda:0')
225  468  tensor(77.1217, device='cuda:0')
226  468  tensor(77.1283, device='cuda:0')
227  468  tensor(75.8833, device='cuda:0')
228  468  tensor(77.2050, device='cuda:0')
229  468  tensor(76.9950, device='cuda:0')
230  468  tensor(76.6867, device='cuda:0')
231  468  tensor(75.6150, device='cuda:0')
232  468  tensor(76.2267, device='cuda:0')
233  468  tensor(76.8917, device='cuda:0')
234  468  tensor(79.6533, device='cuda:0')
235  468  tensor(76.6150, device='cuda:0')
236  468  tensor(80.5083, device='cuda:0')
237  468  tensor(77.2167, device='cuda:0')
238  468  tensor(76.8817, device='cuda:0')
239  468  tensor(78.1333, device='cuda:0')
240  468  tensor(79.9383, device='cuda:0')
241  468  tensor(76.1750, device='cuda:0')
242  468  tensor(77.7067, device='cuda:0')
243  468  tensor(78.5700, device='cuda:0')
244  468  tensor(76.5300, device='cuda:0')
245  468  tensor(76.9067, device='cuda:0')
246  468  tensor(79.1750, device='cuda:0')
247  468  tensor(79.4700, device='cuda:0')
248  468  tensor(76.9933, device='cuda:0')
249  468  tensor(77.2450, device='cuda:0')
250  468  tensor(77.3567, device='cuda:0')
251  468  tensor(76.5750, device='cuda:0')
252  468  tensor(78.4133, device='cuda:0')
253  468  tensor(76.6817, device='cuda:0')
254  468  tensor(78.0250, device='cuda:0')
255  468  tensor(76.2800, device='cuda:0')
256  468  tensor(78.6533, device='cuda:0')
257  468  tensor(78.3883, device='cuda:0')
258  468  tensor(78.6567, device='cuda:0')
259  468  tensor(76.4967, device='cuda:0')
260  468  tensor(78.6117, device='cuda:0')
261  468  tensor(76.3733, device='cuda:0')
262  468  tensor(79.1950, device='cuda:0')
263  468  tensor(78.5750, device='cuda:0')
264  468  tensor(77.6283, device='cuda:0')
265  468  tensor(77.2267, device='cuda:0')
266  468  tensor(78.7750, device='cuda:0')
267  468  tensor(78.0050, device='cuda:0')
268  468  tensor(79.9617, device='cuda:0')
269  468  tensor(77.3650, device='cuda:0')
270  468  tensor(77.7883, device='cuda:0')
271  468  tensor(76.6783, device='cuda:0')
272  468  tensor(77.9950, device='cuda:0')
273  468  tensor(77.4483, device='cuda:0')
274  468  tensor(77.9500, device='cuda:0')
275  468  tensor(77.6817, device='cuda:0')
276  468  tensor(76.6417, device='cuda:0')
277  468  tensor(78.7050, device='cuda:0')
278  468  tensor(78.9000, device='cuda:0')
279  468  tensor(79.4517, device='cuda:0')
280  468  tensor(76.8000, device='cuda:0')
281  468  tensor(76.3850, device='cuda:0')
282  468  tensor(78.5567, device='cuda:0')
283  468  tensor(79.0850, device='cuda:0')
284  468  tensor(79.6650, device='cuda:0')
285  468  tensor(78.6600, device='cuda:0')
286  468  tensor(78.2850, device='cuda:0')
287  468  tensor(77.1283, device='cuda:0')
288  468  tensor(77.6450, device='cuda:0')
289  468  tensor(77.3083, device='cuda:0')
290  468  tensor(77.4417, device='cuda:0')
291  468  tensor(77.5533, device='cuda:0')
292  468  tensor(78.6017, device='cuda:0')
293  468  tensor(77.6750, device='cuda:0')
294  468  tensor(77.9117, device='cuda:0')
295  468  tensor(79.7967, device='cuda:0')
296  468  tensor(79.8083, device='cuda:0')
297  468  tensor(78.2750, device='cuda:0')
298  468  tensor(79.3283, device='cuda:0')
299  468  tensor(80.7417, device='cuda:0')
300  468  tensor(77.4817, device='cuda:0')
301  468  tensor(80.0133, device='cuda:0')
302  468  tensor(78.8950, device='cuda:0')
303  468  tensor(77.5350, device='cuda:0')
304  468  tensor(79.3267, device='cuda:0')
305  468  tensor(76.4967, device='cuda:0')
306  468  tensor(79.5750, device='cuda:0')
307  468  tensor(75.7917, device='cuda:0')
308  468  tensor(76.5067, device='cuda:0')
