155  234  lr 0.09479968871456679  tensor(78.5000, device='cuda:0')
156  234  lr 0.0947290048621977  tensor(77.7783, device='cuda:0')
157  234  lr 0.0946578705892462  tensor(76.7983, device='cuda:0')
158  234  lr 0.09458628661203367  tensor(77.5617, device='cuda:0')
159  234  lr 0.09451425365140996  tensor(80.3033, device='cuda:0')
160  234  lr 0.09444177243274618  tensor(75.9467, device='cuda:0')
161  234  lr 0.0943688436859274  tensor(79.2967, device='cuda:0')
162  234  lr 0.09429546814534528  tensor(77.4233, device='cuda:0')
163  234  lr 0.09422164654989072  tensor(78.6683, device='cuda:0')
164  234  lr 0.09414737964294635  tensor(79.7367, device='cuda:0')
165  234  lr 0.09407266817237911  tensor(79.8183, device='cuda:0')
166  234  lr 0.09399751289053267  tensor(76.8267, device='cuda:0')
167  234  lr 0.09392191455421989  tensor(77.2250, device='cuda:0')
168  234  lr 0.09384587392471516  tensor(77.2533, device='cuda:0')
169  234  lr 0.09376939176774679  tensor(73.8550, device='cuda:0')
170  234  lr 0.09369246885348925  tensor(79.1417, device='cuda:0')
171  234  lr 0.09361510595655545  tensor(74.9033, device='cuda:0')
172  234  lr 0.09353730385598887  tensor(79.8700, device='cuda:0')
173  234  lr 0.09345906333525582  tensor(78.4200, device='cuda:0')
174  234  lr 0.09338038518223746  tensor(77.9517, device='cuda:0')
175  234  lr 0.09330127018922195  tensor(79.1150, device='cuda:0')
176  234  lr 0.09322171915289634  tensor(79.5967, device='cuda:0')
177  234  lr 0.09314173287433873  tensor(76.1017, device='cuda:0')
178  234  lr 0.09306131215901003  tensor(77.9883, device='cuda:0')
179  234  lr 0.09298045781674596  tensor(74.0633, device='cuda:0')
180  234  lr 0.09289917066174885  tensor(76.5717, device='cuda:0')
181  234  lr 0.09281745151257946  tensor(77.9533, device='cuda:0')
182  234  lr 0.09273530119214868  tensor(77.5367, device='cuda:0')
183  234  lr 0.09265272052770936  tensor(77.2433, device='cuda:0')
184  234  lr 0.09256971035084785  tensor(78.5367, device='cuda:0')
185  234  lr 0.09248627149747574  tensor(79.1483, device='cuda:0')
186  234  lr 0.0924024048078213  tensor(80.2300, device='cuda:0')
187  234  lr 0.09231811112642122  tensor(76.5500, device='cuda:0')
188  234  lr 0.09223339130211193  tensor(77.9583, device='cuda:0')
189  234  lr 0.09214824618802109  tensor(73.6417, device='cuda:0')
190  234  lr 0.09206267664155907  tensor(79.6233, device='cuda:0')
191  234  lr 0.09197668352441024  tensor(78.8850, device='cuda:0')
192  234  lr 0.09189026770252437  tensor(77.4200, device='cuda:0')
193  234  lr 0.0918034300461078  tensor(77.4650, device='cuda:0')
194  234  lr 0.09171617142961477  tensor(79.8317, device='cuda:0')
195  234  lr 0.09162849273173856  tensor(78.1183, device='cuda:0')
196  234  lr 0.09154039483540273  tensor(79.9633, device='cuda:0')
197  234  lr 0.09145187862775209  tensor(75.5217, device='cuda:0')
