0  tensor(94.9800, device='cuda:0')
162  468  tensor(93.8050, device='cuda:0')
0  tensor(94.9700, device='cuda:0')
163  468  tensor(93.9883, device='cuda:0')
0  tensor(94.9000, device='cuda:0')
164  468  tensor(93.8050, device='cuda:0')
0  tensor(95.2300, device='cuda:0')
165  468  tensor(93.8800, device='cuda:0')
0  tensor(95.0800, device='cuda:0')
166  468  tensor(93.9467, device='cuda:0')
0  tensor(95.1200, device='cuda:0')
167  468  tensor(93.9567, device='cuda:0')
0  tensor(95.0500, device='cuda:0')
168  468  tensor(93.8600, device='cuda:0')
0  tensor(95.3000, device='cuda:0')
169  468  tensor(94.0017, device='cuda:0')
0  tensor(95.1500, device='cuda:0')
170  468  tensor(93.9667, device='cuda:0')
0  tensor(94.8000, device='cuda:0')
171  468  tensor(94.0183, device='cuda:0')
0  tensor(95.0300, device='cuda:0')
172  468  tensor(94.0300, device='cuda:0')
0  tensor(95.2300, device='cuda:0')
173  468  tensor(94.0683, device='cuda:0')
0  tensor(94.7000, device='cuda:0')
174  468  tensor(94.0800, device='cuda:0')
0  tensor(95.0500, device='cuda:0')
175  468  tensor(94.0983, device='cuda:0')
0  tensor(95.0100, device='cuda:0')
176  468  tensor(94.0250, device='cuda:0')
0  tensor(95.1600, device='cuda:0')
177  468  tensor(94.1633, device='cuda:0')
0  tensor(95.0600, device='cuda:0')
178  468  tensor(94.2067, device='cuda:0')
0  tensor(95.0300, device='cuda:0')
179  468  tensor(94.0133, device='cuda:0')
0  tensor(94.9900, device='cuda:0')
180  468  tensor(94.1050, device='cuda:0')
0  tensor(95.1400, device='cuda:0')
181  468  tensor(94.2033, device='cuda:0')
0  tensor(95.1000, device='cuda:0')
182  468  tensor(94.3983, device='cuda:0')
0  tensor(95.1500, device='cuda:0')
183  468  tensor(94.4033, device='cuda:0')
0  tensor(94.9800, device='cuda:0')
184  468  tensor(94.2933, device='cuda:0')
0  tensor(95., device='cuda:0')
185  468  tensor(94.2333, device='cuda:0')
0  tensor(95.2000, device='cuda:0')
186  468  tensor(94.1700, device='cuda:0')
0  tensor(95.0600, device='cuda:0')
187  468  tensor(94.1283, device='cuda:0')
0  tensor(94.9400, device='cuda:0')
188  468  tensor(94.3700, device='cuda:0')
0  tensor(95.2100, device='cuda:0')
189  468  tensor(94.2583, device='cuda:0')
0  tensor(95.2100, device='cuda:0')
190  468  tensor(94.3267, device='cuda:0')
0  tensor(95.3300, device='cuda:0')
191  468  tensor(94.4167, device='cuda:0')
0  tensor(95.0100, device='cuda:0')
192  468  tensor(94.4600, device='cuda:0')
0  tensor(95.0900, device='cuda:0')
193  468  tensor(94.1983, device='cuda:0')
0  tensor(95.2800, device='cuda:0')
194  468  tensor(94.3667, device='cuda:0')
0  tensor(95.2700, device='cuda:0')
195  468  tensor(94.3783, device='cuda:0')
0  tensor(95.1600, device='cuda:0')
196  468  tensor(94.5033, device='cuda:0')
0  tensor(95.1700, device='cuda:0')
197  468  tensor(94.5983, device='cuda:0')
0  tensor(95.3300, device='cuda:0')
198  468  tensor(94.5567, device='cuda:0')
0  tensor(94.8800, device='cuda:0')
199  468  tensor(94.4383, device='cuda:0')
0  tensor(95.3000, device='cuda:0')
200  468  tensor(94.4733, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
201  468  tensor(94.7083, device='cuda:0')
0  tensor(95.0900, device='cuda:0')
202  468  tensor(94.5517, device='cuda:0')
0  tensor(94.7700, device='cuda:0')
203  468  tensor(94.6117, device='cuda:0')
0  tensor(95.1700, device='cuda:0')
204  468  tensor(94.6817, device='cuda:0')
0  tensor(95.2200, device='cuda:0')
205  468  tensor(94.6117, device='cuda:0')
0  tensor(95.3300, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
0  tensor(95.0200, device='cuda:0')
206  522  tensor(47.5853, device='cuda:0')
0  tensor(95.1400, device='cuda:0')
207  522  tensor(50.3734, device='cuda:0')
0  tensor(95.3800, device='cuda:0')
208  522  tensor(49.4111, device='cuda:0')
0  tensor(95.4900, device='cuda:0')
209  522  tensor(47.5599, device='cuda:0')
0  tensor(95.4700, device='cuda:0')
210  522  tensor(51.9597, device='cuda:0')
0  tensor(95.5600, device='cuda:0')
211  522  tensor(51.2908, device='cuda:0')
0  tensor(95.5700, device='cuda:0')
0  tensor(95.5700, device='cuda:0')
0  tensor(95.5700, device='cuda:0')
212  538  tensor(48.4341, device='cuda:0')
0  tensor(95.5500, device='cuda:0')
213  538  tensor(50.0783, device='cuda:0')
0  tensor(95.5900, device='cuda:0')
214  538  tensor(50.1885, device='cuda:0')
0  tensor(95.5600, device='cuda:0')
215  538  tensor(48.1325, device='cuda:0')
0  tensor(95.5600, device='cuda:0')
216  538  tensor(51.9154, device='cuda:0')
0  tensor(95.5600, device='cuda:0')
217  538  tensor(51.7399, device='cuda:0')
0  tensor(95.5500, device='cuda:0')
218  538  tensor(49.3983, device='cuda:0')
0  tensor(95.6100, device='cuda:0')
219  538  tensor(50.6655, device='cuda:0')
0  tensor(95.5500, device='cuda:0')
220  538  tensor(50.2871, device='cuda:0')
0  tensor(95.5700, device='cuda:0')
221  538  tensor(52.6462, device='cuda:0')
0  tensor(95.5500, device='cuda:0')
222  538  tensor(48.5921, device='cuda:0')
0  tensor(95.5300, device='cuda:0')
223  538  tensor(50.3726, device='cuda:0')
0  tensor(95.5200, device='cuda:0')
224  538  tensor(51.0338, device='cuda:0')
0  tensor(95.5100, device='cuda:0')
225  538  tensor(50.7206, device='cuda:0')
0  tensor(95.4700, device='cuda:0')
226  538  tensor(52.9593, device='cuda:0')
0  tensor(95.4500, device='cuda:0')
227  538  tensor(52.5722, device='cuda:0')
0  tensor(95.4700, device='cuda:0')
228  538  tensor(51.4151, device='cuda:0')
0  tensor(95.4900, device='cuda:0')
229  538  tensor(50.5800, device='cuda:0')
0  tensor(95.4400, device='cuda:0')
230  538  tensor(49.1721, device='cuda:0')
0  tensor(95.4200, device='cuda:0')
231  538  tensor(51.5036, device='cuda:0')
0  tensor(95.5000, device='cuda:0')
232  538  tensor(48.2673, device='cuda:0')
0  tensor(95.5000, device='cuda:0')
233  538  tensor(50.3422, device='cuda:0')
0  tensor(95.4700, device='cuda:0')
234  538  tensor(48.6037, device='cuda:0')
0  tensor(95.4700, device='cuda:0')
235  538  tensor(50.9628, device='cuda:0')
0  tensor(95.4400, device='cuda:0')
236  538  tensor(50.1145, device='cuda:0')
0  tensor(95.4200, device='cuda:0')
237  538  tensor(51.7689, device='cuda:0')
0  tensor(95.4000, device='cuda:0')
238  538  tensor(49.9130, device='cuda:0')
0  tensor(95.4800, device='cuda:0')
239  538  tensor(49.8811, device='cuda:0')
0  tensor(95.5400, device='cuda:0')
240  538  tensor(51.3108, device='cuda:0')
0  tensor(95.5500, device='cuda:0')
241  538  tensor(52.9608, device='cuda:0')
0  tensor(95.4900, device='cuda:0')
242  538  tensor(53.4726, device='cuda:0')
0  tensor(95.5100, device='cuda:0')
243  538  tensor(49.6549, device='cuda:0')
0  tensor(95.4900, device='cuda:0')
244  538  tensor(51.9531, device='cuda:0')
0  tensor(95.5100, device='cuda:0')
245  538  tensor(47.2886, device='cuda:0')
0  tensor(95.5300, device='cuda:0')
246  538  tensor(50.9642, device='cuda:0')
0  tensor(95.5000, device='cuda:0')
247  538  tensor(52.3112, device='cuda:0')
0  tensor(95.4800, device='cuda:0')
248  538  tensor(50.4756, device='cuda:0')
0  tensor(95.4800, device='cuda:0')
249  538  tensor(51.8182, device='cuda:0')
0  tensor(95.4900, device='cuda:0')
250  538  tensor(51.6529, device='cuda:0')
0  tensor(95.5100, device='cuda:0')
251  538  tensor(51.8327, device='cuda:0')
0  tensor(95.5700, device='cuda:0')
252  538  tensor(52.7810, device='cuda:0')
0  tensor(95.6600, device='cuda:0')
253  538  tensor(47.5177, device='cuda:0')
0  tensor(95.6900, device='cuda:0')
254  538  tensor(50.8917, device='cuda:0')
0  tensor(95.6600, device='cuda:0')
255  538  tensor(50.5988, device='cuda:0')
0  tensor(95.6500, device='cuda:0')
256  538  tensor(50.7264, device='cuda:0')
0  tensor(95.6500, device='cuda:0')
257  538  tensor(50.8526, device='cuda:0')
0  tensor(95.6500, device='cuda:0')
258  538  tensor(50.3973, device='cuda:0')
0  tensor(95.7000, device='cuda:0')
259  538  tensor(52.1401, device='cuda:0')
0  tensor(95.7000, device='cuda:0')
260  538  tensor(51.2441, device='cuda:0')
0  tensor(95.6900, device='cuda:0')
261  538  tensor(49.1416, device='cuda:0')
0  tensor(95.6600, device='cuda:0')
262  538  tensor(50.8294, device='cuda:0')
0  tensor(95.6500, device='cuda:0')
263  538  tensor(48.6472, device='cuda:0')
0  tensor(95.6200, device='cuda:0')
264  538  tensor(49.2127, device='cuda:0')
0  tensor(95.6500, device='cuda:0')
265  538  tensor(51.1165, device='cuda:0')
0  tensor(95.6400, device='cuda:0')
266  538  tensor(51.8400, device='cuda:0')
0  tensor(95.6400, device='cuda:0')
267  538  tensor(51.9618, device='cuda:0')
0  tensor(95.7000, device='cuda:0')
268  538  tensor(51.5224, device='cuda:0')
0  tensor(95.6800, device='cuda:0')
269  538  tensor(49.8362, device='cuda:0')
0  tensor(95.6800, device='cuda:0')
270  538  tensor(51.1426, device='cuda:0')
0  tensor(95.7000, device='cuda:0')
271  538  tensor(49.3707, device='cuda:0')
0  tensor(95.6900, device='cuda:0')
272  538  tensor(51.4471, device='cuda:0')
0  tensor(95.7000, device='cuda:0')
273  538  tensor(50.9135, device='cuda:0')
0  tensor(95.7000, device='cuda:0')
274  538  tensor(52.9825, device='cuda:0')
0  tensor(95.7200, device='cuda:0')
275  538  tensor(52.5853, device='cuda:0')
0  tensor(95.7100, device='cuda:0')
276  538  tensor(50.8874, device='cuda:0')
0  tensor(95.6900, device='cuda:0')
277  538  tensor(51.8994, device='cuda:0')
0  tensor(95.6800, device='cuda:0')
278  538  tensor(53.3030, device='cuda:0')
0  tensor(95.6900, device='cuda:0')
279  538  tensor(50.9773, device='cuda:0')
0  tensor(95.6900, device='cuda:0')
280  538  tensor(52.0154, device='cuda:0')
0  tensor(95.7200, device='cuda:0')
281  538  tensor(52.1300, device='cuda:0')
0  tensor(95.7100, device='cuda:0')
282  538  tensor(53.5060, device='cuda:0')
0  tensor(95.7800, device='cuda:0')
283  538  tensor(50.0681, device='cuda:0')
0  tensor(95.7900, device='cuda:0')
284  538  tensor(52.2141, device='cuda:0')
0  tensor(95.8000, device='cuda:0')
285  538  tensor(49.4635, device='cuda:0')
0  tensor(95.8200, device='cuda:0')
286  538  tensor(52.0937, device='cuda:0')
0  tensor(95.8400, device='cuda:0')
287  538  tensor(51.4210, device='cuda:0')
0  tensor(95.8400, device='cuda:0')
288  538  tensor(52.4011, device='cuda:0')
0  tensor(95.8600, device='cuda:0')
289  538  tensor(51.9502, device='cuda:0')
0  tensor(95.8700, device='cuda:0')
290  538  tensor(53.0536, device='cuda:0')
0  tensor(95.8600, device='cuda:0')
291  538  tensor(52.6505, device='cuda:0')
0  tensor(95.8700, device='cuda:0')
292  538  tensor(53.7148, device='cuda:0')
0  tensor(95.8900, device='cuda:0')
293  538  tensor(53.2841, device='cuda:0')
0  tensor(95.8900, device='cuda:0')
294  538  tensor(49.7970, device='cuda:0')
0  tensor(95.9200, device='cuda:0')
295  538  tensor(51.0498, device='cuda:0')
0  tensor(95.9600, device='cuda:0')
296  538  tensor(50.4190, device='cuda:0')
0  tensor(95.9700, device='cuda:0')
297  538  tensor(52.1981, device='cuda:0')
0  tensor(95.9800, device='cuda:0')
298  538  tensor(51.8777, device='cuda:0')
0  tensor(95.9900, device='cuda:0')
299  538  tensor(47.6902, device='cuda:0')
0  tensor(95.9700, device='cuda:0')
300  538  tensor(51.6326, device='cuda:0')
0  tensor(95.9400, device='cuda:0')
301  538  tensor(51.6312, device='cuda:0')
0  tensor(95.9400, device='cuda:0')
302  538  tensor(52.8085, device='cuda:0')
0  tensor(95.9200, device='cuda:0')
303  538  tensor(50.4814, device='cuda:0')
0  tensor(95.9200, device='cuda:0')
304  538  tensor(52.5229, device='cuda:0')
0  tensor(95.9100, device='cuda:0')
305  538  tensor(52.3446, device='cuda:0')
0  tensor(95.9000, device='cuda:0')
306  538  tensor(52.1445, device='cuda:0')
0  tensor(95.9000, device='cuda:0')
307  538  tensor(52.0241, device='cuda:0')
0  tensor(95.9300, device='cuda:0')
308  538  tensor(52.7143, device='cuda:0')
0  tensor(95.9000, device='cuda:0')
309  538  tensor(53.0797, device='cuda:0')
0  tensor(95.9400, device='cuda:0')
310  538  tensor(53.2247, device='cuda:0')
0  tensor(95.9100, device='cuda:0')
311  538  tensor(53.7177, device='cuda:0')
0  tensor(95.9400, device='cuda:0')
312  538  tensor(50.5495, device='cuda:0')
0  tensor(95.9500, device='cuda:0')
313  538  tensor(52.0430, device='cuda:0')
0  tensor(95.9100, device='cuda:0')
314  538  tensor(51.0382, device='cuda:0')
0  tensor(95.9500, device='cuda:0')
315  538  tensor(50.6568, device='cuda:0')
0  tensor(95.9400, device='cuda:0')
316  538  tensor(53.6147, device='cuda:0')
0  tensor(95.9700, device='cuda:0')
317  538  tensor(51.6196, device='cuda:0')
0  tensor(95.9400, device='cuda:0')
318  538  tensor(51.9299, device='cuda:0')
0  tensor(95.9400, device='cuda:0')
319  538  tensor(51.1687, device='cuda:0')
0  tensor(95.9400, device='cuda:0')
320  538  tensor(49.4432, device='cuda:0')
0  tensor(96.0200, device='cuda:0')
321  538  tensor(51.3282, device='cuda:0')
0  tensor(96.0300, device='cuda:0')
322  538  tensor(52.9506, device='cuda:0')
0  tensor(96.0300, device='cuda:0')
323  538  tensor(50.3132, device='cuda:0')
0  tensor(96.0300, device='cuda:0')
324  538  tensor(52.4142, device='cuda:0')
